Normalized time,Mean,Mean Western,Mean non-Western,Mean birdsong,Mean Essen,SE ,SE Western,SE non-Western,SE birdsong,SE Essen,SE high,SE high Western,SE high non-Western,SE high birdsong,SE high Essen,SE low,SE low Western,SE low non-Western,SE low birdsong,SE low Essen
0.469387755,-0.715462419,-0.715517629,-0.715398264,-0.2827,-0.1729,0.120263123,0.181813041,0.152118324,0.0515,0.0233,-0.595199296,-0.533704588,-0.56327994,-0.2312,-0.1496,-0.835725542,-0.89733067,-0.867516588,-0.3342,-0.1962
0.510204082,-0.761636092,-0.7766789,-0.74415618,-0.323,-0.3744,0.112023196,0.174231341,0.133457407,0.0539,0.0241,-0.649612896,-0.602447559,-0.610698773,-0.2691,-0.3503,-0.873659288,-0.950910241,-0.877613587,-0.3769,-0.3985
0.551020408,-0.733576411,-0.771500487,-0.689508211,-0.37,-0.4395,0.109079927,0.165572134,0.136817044,0.055,0.0243,-0.624496484,-0.605928353,-0.552691167,-0.315,-0.4152,-0.842656338,-0.937072622,-0.826325255,-0.425,-0.4638
0.591836735,-0.737756828,-0.830348169,-0.630164655,-0.3784,-0.4795,0.109593489,0.167489185,0.135210592,0.0564,0.0244,-0.628163339,-0.662858984,-0.494954062,-0.322,-0.4551,-0.847350317,-0.997837355,-0.765375247,-0.4348,-0.5039
0.632653061,-0.824081103,-0.940278703,-0.689058193,-0.4536,-0.653,0.113256312,0.16586862,0.150895067,0.0594,0.0246,-0.710824791,-0.774410083,-0.538163126,-0.3942,-0.6284,-0.937337415,-1.106147323,-0.839953261,-0.513,-0.6776
0.673469388,-0.897248155,-1.089764439,-0.673542082,-0.4721,-0.8246,0.117094848,0.169649739,0.157695871,0.0605,0.0249,-0.780153308,-0.9201147,-0.515846211,-0.4116,-0.7997,-1.014343003,-1.259414178,-0.831237953,-0.5326,-0.8495
0.714285714,-0.950535371,-1.225436225,-0.631097508,-0.5166,-0.9293,0.119628498,0.172808515,0.160233194,0.0631,0.0252,-0.830906873,-1.052627709,-0.470864313,-0.4535,-0.9041,-1.070163869,-1.39824474,-0.791330702,-0.5797,-0.9545
0.755102041,-1.054132091,-1.354467887,-0.70513854,-0.5779,-1.1484,0.122394108,0.175432905,0.165442758,0.0659,0.0255,-0.931737983,-1.179034983,-0.539695783,-0.512,-1.1229,-1.1765262,-1.529900792,-0.870581298,-0.6438,-1.1739
0.795918367,-1.090340658,-1.414611654,-0.713534137,-0.6373,-1.1947,0.125117571,0.181954801,0.164836185,0.0683,0.0256,-0.965223087,-1.232656854,-0.548697952,-0.569,-1.1691,-1.215458229,-1.596566455,-0.878370323,-0.7056,-1.2203
0.836734694,-1.15423103,-1.4795952,-0.776154229,-0.6842,-1.2831,0.126424381,0.187508154,0.161026422,0.072,0.0257,-1.027806649,-1.292087047,-0.615127807,-0.6122,-1.2574,-1.280655411,-1.667103354,-0.937180651,-0.7562,-1.3088
0.87755102,-1.232518691,-1.51660876,-0.902402857,-0.7541,-1.3344,0.129242539,0.195287313,0.160120463,0.0737,0.0259,-1.103276152,-1.321321447,-0.742282394,-0.6804,-1.3085,-1.36176123,-1.711896073,-1.062523321,-0.8278,-1.3603
0.918367347,-1.359252514,-1.620635245,-1.055522859,-0.7916,-1.3509,0.133674251,0.197898357,0.172883983,0.0758,0.026,-1.225578263,-1.422736888,-0.882638876,-0.7158,-1.3249,-1.492926764,-1.818533602,-1.228406843,-0.8674,-1.3769
0.959183673,-1.486186469,-1.740819737,-1.190299767,-0.8329,-1.379,0.135515794,0.193271122,0.186301199,0.0771,0.0262,-1.350670675,-1.547548615,-1.003998569,-0.7558,-1.3528,-1.621702263,-1.934090859,-1.376600966,-0.91,-1.4052
1,-1.677578194,-1.987659462,-1.317260295,-0.8412,-1.3799,0.136524226,0.19657568,0.18387906,0.0773,0.0262,-1.541053968,-1.791083782,-1.133381235,-0.7639,-1.3537,-1.81410242,-2.184235143,-1.501139355,-0.9185,-1.4061
